[datetime.date(2012, 8, 25), '5', '5', '37', '37', '15', '3', '21', '38', '80']
[datetime.date(2012, 8, 24), '4', '1', '37', '37', '15', None, '16', '43', '142']
[datetime.date(2012, 8, 23), '5', '3', '48', '48', '11', None, '13', '28', '120']
[datetime.date(2012, 8, 22), '6', '3', '37', '37', '11', None, '16', '28', '110']
[datetime.date(2012, 8, 21), '6', '4', '38', '38', '11', None, '13', '26', '109']
[datetime.date(2012, 8, 20), '4', '4', '56', '56', '12', None, '17', '90', '140']
[datetime.date(2012, 8, 19), '5', '5', '35', '35', '10', '1', '10', '51', '46']
[datetime.date(2012, 8, 18), '5', '6', '33', '33', '10', '3', '8', '48', '89']
[datetime.date(2012, 8, 17), '3', None, '31', '31', '8', None, '9', '29', '107']
[datetime.date(2012, 8, 16), '3', '2', '49', '49', '10', '3', '11', '24', '129']
[datetime.date(2012, 8, 15), '1', '6', '35', '35', '3', None, '3', '42', '50']
[datetime.date(2012, 8, 14), '5', '1', '39', '39', '14', '1', '18', '28', '126']
[datetime.date(2012, 8, 13), '4', '1', '45', '45', '11', '1', '12', '71', '130']
[datetime.date(2012, 8, 12), '2', '4', '20', '20', '7', None, '7', '39', '68']
[datetime.date(2012, 8, 11), None, '2', '24', '24', '11', '2', '22', '42', '135']
[datetime.date(2012, 8, 10), None, None, None, None, None, None, None, None, None]
[datetime.date(2012, 8, 9), '3', '3', '46', '46', '8', None, '10', '23', '112']
[datetime.date(2012, 8, 8), '7', '2', '41', '41', '12', '1', '12', '22', '107']
[datetime.date(2012, 8, 7), '5', '1', '36', '36', '12', '1', '20', '32', '131']
[datetime.date(2012, 8, 6), '3', '1', '55', '55', '14', None, '23', '91', None]
[datetime.date(2012, 8, 5), '2', '5', '26', '26', '8', '1', '14', '46', '67']
[datetime.date(2012, 8, 4), '6', '4', '36', '36', '11', '1', '18', '55', '82']
[datetime.date(2012, 8, 3), '3', '1', '37', '37', '9', None, '12', '29', '135']
[datetime.date(2012, 8, 2), '5', '1', '37', '37', '11', None, '16', '39', '113']
[datetime.date(2012, 8, 1), '4', '5', '47', '47', '11', None, '13', '25', '123']
[datetime.date(2012, 7, 31), '3', '3', '36', '36', '6', None, '9', '25', '110']
[datetime.date(2012, 7, 30), '3', '7', '54', '54', '7', None, '8', '35', '120']
[datetime.date(2012, 7, 29), '4', '9', '17', '17', '6', '1', '7', '46', '73']
[datetime.date(2012, 7, 28), '5', '3', '37', '37', '13', '1', '20', '38', '103']
[datetime.date(2012, 7, 27), '2', '2', '58', '58', '9', None, '11', '33', '109']
[datetime.date(2012, 7, 26), '4', '2', '38', '38', '7', '2', '7', '20', '100']
