,,,,,,,
,,,,,,,
Rok zdarzenia:<Wszystkie>,2011r.,,,,,,
,,,,,,,
,,,Liczba Zdarzen,Liczba Wypadkow,Liczba Zabitych,Liczba Rannych,Liczba Kolizji
,,2011/05/28,60,9,1,13,51
,,2011/05/29,36,3,0,3,33
,,2011/05/30,85,2,0,3,83
,,2011/05/31,69,3,0,3,66
,,2011/06/01,77,7,1,6,70
,,2011/06/02,76,3,0,3,73
,,2011/06/03,95,4,0,4,91
,,2011/06/04,68,4,1,4,64
,,2011/06/05,47,5,0,6,42
,,2011/06/06,70,4,1,4,66
,,2011/06/07,93,4,0,5,89
,,2011/06/08,83,5,1,4,78
,,2011/06/09,98,1,0,1,97
,,2011/06/10,101,6,1,5,95
,,2011/06/11,67,8,1,8,59
,,2011/06/12,40,3,0,3,37
,,2011/06/13,87,3,0,4,84
,,2011/06/14,90,3,0,3,87
,,2011/06/15,89,8,0,11,81
,,2011/06/16,88,10,3,9,78
,,2011/06/17,105,7,1,10,98
,,2011/06/18,70,3,0,4,67
,,2011/06/19,44,3,0,5,41
,,2011/06/20,93,5,3,4,88
,,2011/06/21,95,3,0,3,92
,,2011/06/22,91,5,0,5,86
,,2011/06/23,32,1,0,1,31
,,2011/06/24,90,1,0,1,89
,,2011/06/25,50,3,3,6,47
,,2011/06/26,52,6,1,12,46
,,2011/06/27,71,4,0,4,67
,,2011/06/28,71,3,0,4,68
,,2011/06/29,94,4,1,3,90
,,2011/06/30,66,4,2,4,62
,,2011/07/01,93,3,1,4,90
,,2011/07/02,88,8,1,12,80
,,2011/07/03,61,1,0,1,60
,,2011/07/04,72,4,0,6,68
,,2011/07/05,71,6,0,7,65
,,2011/07/06,71,6,1,9,65
,,2011/07/07,50,6,1,7,44
,,2011/07/08,103,6,0,7,97
,,2011/07/09,64,1,0,1,63
,,2011/07/10,38,2,1,1,36
,,2011/07/11,122,8,2,9,114
,,2011/07/12,80,3,0,4,77
,,2011/07/13,72,3,0,3,69
,,2011/07/14,81,2,0,3,79
,,2011/07/15,87,5,1,5,82
,,2011/07/16,85,8,2,8,77
,,2011/07/17,61,9,2,9,52
,,2011/07/18,62,4,1,4,58
,,2011/07/19,64,5,0,8,59
,,2011/07/20,85,1,0,1,84
,,2011/07/21,73,3,0,3,70
,,2011/07/22,70,6,0,6,64
,,2011/07/23,58,3,1,6,55
,,2011/07/24,64,3,1,11,61
,,2011/07/25,104,5,1,4,99
,,2011/07/26,63,7,1,6,56
,,2011/07/27,103,4,1,4,99
,,2011/07/28,91,4,1,3,87
,,2011/07/29,83,3,0,3,80
,,2011/07/30,78,4,1,11,74
,,2011/07/31,61,2,0,2,59
,,2011/08/01,96,9,5,7,87
,,2011/08/02,93,4,1,3,89
,,2011/08/03,100,6,1,6,94
,,2011/08/04,71,2,0,2,69
,,2011/08/05,70,8,1,9,62
,,2011/08/06,63,9,1,9,54
,,2011/08/07,69,12,0,15,57
,,2011/08/08,80,3,3,3,77
,,2011/08/09,80,3,4,4,77
,,2011/08/10,74,6,0,6,68
,,2011/08/11,107,1,1,0,106
,,2011/08/12,163,6,2,5,157
,,2011/08/13,80,5,1,4,75
,,2011/08/14,54,5,0,8,49
,,2011/08/15,39,4,1,3,35
,,2011/08/16,72,2,2,1,70
,,2011/08/17,81,0,0,0,81
,,2011/08/18,73,3,1,2,70
,,2011/08/19,104,4,0,6,100
,,2011/08/20,56,6,2,5,50
,,2011/08/21,46,4,0,7,42
,,2011/08/22,71,4,0,4,67
,,2011/08/23,79,3,0,4,76
,,2011/08/24,80,2,0,3,78
,,2011/08/25,54,3,0,3,51
,,2011/08/26,75,3,0,3,72
,,2011/08/27,84,5,2,5,79
,,2011/08/28,64,4,2,3,60
,,2011/08/29,71,1,0,1,70
,,2011/08/30,60,0,0,0,60
,,2011/08/31,68,4,1,6,64
,,2011/09/01,86,5,1,4,81
,,2011/09/02,89,2,0,2,87
,,2011/09/03,59,0,0,0,59
,,2011/09/04,34,2,0,4,32
,,2011/09/05,80,0,0,0,80
,,2011/09/06,81,5,2,3,76
,,2011/09/07,88,5,0,8,83
,,2011/09/08,109,1,0,1,108
,,2011/09/09,96,4,2,5,92
,,2011/09/10,58,5,0,5,53
,,2011/09/11,54,7,2,8,47
,,2011/09/12,72,7,2,7,65
,,2011/09/13,85,7,2,6,78
,,2011/09/14,70,5,0,5,65
,,2011/09/15,86,2,1,1,84
,,2011/09/16,111,8,1,9,103
,,2011/09/17,70,3,0,4,67
,,2011/09/18,47,3,0,5,44
,,2011/09/19,96,6,0,6,90
,,2011/09/20,91,5,1,4,86
,,2011/09/21,86,3,1,4,83
,,2011/09/22,75,3,1,2,72
,,2011/09/23,78,3,0,4,75
,,2011/09/24,68,9,4,9,59
,,2011/09/25,45,5,4,3,40
,,2011/09/26,87,6,0,11,81
,,2011/09/27,63,4,1,4,59
,,2011/09/28,59,4,0,5,55
,,2011/09/29,71,2,0,2,69
,,2011/09/30,111,5,0,5,106
,,2011/10/01,73,7,3,7,66
,,2011/10/02,62,9,3,7,53
,,2011/10/03,87,6,1,5,81
,,2011/10/04,86,3,1,2,83
,,2011/10/05,66,4,2,2,62
,,2011/10/06,68,2,0,2,66
,,2011/10/07,78,3,1,2,75
,,2011/10/08,94,8,1,8,86
,,2011/10/09,57,5,0,6,52
,,2011/10/10,94,5,1,7,89
,,2011/10/11,109,1,0,1,108
,,2011/10/12,88,4,1,3,84
,,2011/10/13,95,6,2,4,89
,,2011/10/14,105,4,0,4,101
,,2011/10/15,64,4,2,5,60
,,2011/10/16,57,3,0,4,54
,,2011/10/17,80,4,1,3,76
,,2011/10/18,88,2,0,2,86
,,2011/10/19,72,1,0,1,71
,,2011/10/20,75,7,0,8,68
,,2011/10/21,93,6,2,8,87
,,2011/10/22,49,1,0,2,48
,,2011/10/23,39,2,0,3,37
,,2011/10/24,71,3,0,3,68
,,2011/10/25,72,6,1,5,66
,,2011/10/26,61,2,2,2,59
,,2011/10/27,81,6,0,6,75
,,2011/10/28,77,3,1,2,74
,,2011/10/29,61,5,0,9,56
,,2011/10/30,51,1,0,1,50
,,2011/10/31,80,4,0,4,76
,,2011/11/01,38,1,0,1,37
,,2011/11/02,71,6,1,5,65
,,2011/11/03,69,3,1,2,66
,,2011/11/04,72,3,0,3,69
,,2011/11/05,50,3,0,4,47
,,2011/11/06,41,1,0,1,40
,,2011/11/07,73,2,1,4,71
,,2011/11/08,70,6,2,5,64
,,2011/11/09,76,3,0,3,73
,,2011/11/10,91,8,1,9,83
,,2011/11/11,40,4,1,3,36
,,2011/11/12,62,3,1,5,59
,,2011/11/13,43,3,2,2,40
,,2011/11/14,71,4,0,4,67
,,2011/11/15,61,1,1,4,60
,,2011/11/16,66,2,0,2,64
,,2011/11/17,69,2,0,3,67
,,2011/11/18,68,5,0,5,63
,,2011/11/19,53,1,0,1,52
,,2011/11/20,48,2,0,3,46
,,2011/11/21,74,4,0,4,70
