,,,,,,,
,,,,,,,
Rok zdarzenia:<Wszystkie>,2013r.,,,,,,
,,,,,,,
,,,Liczba Zdarzen,Liczba Wypadkow,Liczba Zabitych,Liczba Rannych,Liczba Kolizji
,,2013/01/02,47,4,1,7,43
,,2013/01/03,43,4,3,2,39
,,2013/01/04,39,6,0,11,33
,,2013/01/05,36,0,0,0,36
,,2013/01/06,25,5,1,7,20
,,2013/01/07,42,3,1,3,39
,,2013/01/08,127,6,0,6,121
,,2013/01/09,54,6,0,8,48
,,2013/01/10,68,12,1,12,56
,,2013/01/11,123,9,0,16,114
,,2013/01/12,29,1,0,1,28
,,2013/01/13,40,4,0,5,36
,,2013/01/14,56,4,0,8,52
,,2013/01/15,54,6,0,9,48
,,2013/01/16,50,5,1,5,45
,,2013/01/17,57,3,0,5,54
,,2013/01/18,48,3,0,3,45
,,2013/01/19,42,5,0,11,37
,,2013/01/20,18,1,0,1,17
,,2013/01/21,55,2,0,2,53
,,2013/01/22,48,3,0,3,45
,,2013/01/23,38,3,0,4,35
,,2013/01/24,60,7,2,6,53
,,2013/01/25,74,2,0,2,72
,,2013/01/26,41,5,1,11,36
,,2013/01/27,29,3,1,2,26
,,2013/01/28,48,6,1,8,42
,,2013/01/29,43,4,0,4,39
,,2013/01/30,54,3,1,2,51
,,2013/01/31,80,12,2,13,68
,,2013/02/01,66,4,0,5,62
,,2013/02/02,64,5,0,7,59
,,2013/02/03,29,3,0,3,26
,,2013/02/04,50,7,0,9,43
,,2013/02/05,70,6,0,7,64
,,2013/02/06,57,5,1,12,52
,,2013/02/07,51,1,0,1,50
,,2013/02/08,85,11,2,12,74
,,2013/02/09,37,2,1,1,35
,,2013/02/10,22,2,0,4,20
,,2013/02/11,58,3,0,3,55
,,2013/02/12,59,7,0,8,52
,,2013/02/13,60,6,0,11,54
,,2013/02/14,50,5,1,4,45
,,2013/02/15,38,7,0,10,31
,,2013/02/16,29,3,0,3,26
,,2013/02/17,15,0,0,0,15
,,2013/02/18,74,5,0,7,69
,,2013/02/19,88,5,1,4,83
,,2013/02/20,68,7,1,7,61
,,2013/02/21,45,4,1,3,41
,,2013/02/22,53,4,0,5,49
,,2013/02/23,37,4,2,5,33
,,2013/02/24,22,2,0,2,20
,,2013/02/25,43,1,0,1,42
,,2013/02/26,39,2,0,2,37
,,2013/02/27,62,6,0,7,56
,,2013/02/28,65,8,0,9,57
,WOJ. ŚLĄSKIE,,7387,512,31,617,6875
,,2013/01/01,41,5,1,6,36
,,2013/01/02,140,16,2,16,124
,,2013/01/03,114,18,3,19,96
,,2013/01/04,134,24,1,34,110
,,2013/01/05,76,5,0,5,71
,,2013/01/06,84,9,1,13,75
,,2013/01/07,99,5,1,4,94
,,2013/01/08,148,4,0,4,144
,,2013/01/09,125,11,3,12,114
,,2013/01/10,156,14,2,19,142
,,2013/01/11,194,12,1,14,182
,,2013/01/12,120,12,0,15,108
,,2013/01/13,84,7,0,10,77
,,2013/01/14,146,10,0,11,136
,,2013/01/15,103,5,0,9,98
,,2013/01/16,131,10,0,16,121
,,2013/01/17,125,5,0,5,120
,,2013/01/18,162,9,0,9,153
,,2013/01/19,72,9,0,13,63
,,2013/01/20,66,4,0,6,62
,,2013/01/21,208,16,1,20,192
,,2013/01/22,136,10,1,9,126
,,2013/01/23,149,7,0,7,142
,,2013/01/24,95,7,0,8,88
,,2013/01/25,133,11,0,16,122
,,2013/01/26,75,1,0,1,74
,,2013/01/27,56,2,0,2,54
,,2013/01/28,178,12,0,16,166
,,2013/01/29,153,6,1,5,147
,,2013/01/30,160,5,0,5,155
,,2013/01/31,227,4,0,5,223
,,2013/02/01,130,8,1,10,122
,,2013/02/02,119,7,1,8,112
,,2013/02/03,116,8,0,9,108
,,2013/02/04,147,13,1,15,134
,,2013/02/05,117,6,0,6,111
,,2013/02/06,168,15,0,18,153
,,2013/02/07,188,9,0,12,179
,,2013/02/08,153,12,0,14,141
